x,y,z,tke
2.2656596,1.1314082,0.005,0.24299355
2.252712,1.1005679,0.005,0.22742872
2.2347338,1.1353077,0.005,0.2443608
2.158555,1.1652101,0.005,0.2407079
2.2023871,1.1459428,0.005,0.25533149
2.1823604,1.127524,0.005,0.20112866
2.182189,1.1539954,0.005,0.24234748
2.1836674,1.1786135,0.005,0.2327888
2.1609702,1.1804662,0.005,0.24068646
2.174535,1.1128073,0.005,0.1970631
2.093648,1.202082,0.005,0.23255108
2.1407292,1.183131,0.005,0.23698878
2.1140709,1.1783818,0.005,0.24372245
2.1373124,1.1568266,0.005,0.24376532
2.1328461,1.126454,0.005,0.20937701
2.052453,1.232985,0.005,0.23694219
2.069335,1.2087924,0.005,0.24043889
2.06845,1.1932951,0.005,0.24627028
2.086751,1.1743721,0.005,0.2451892
1.9924942,1.2650622,0.005,0.20375501
1.9738048,1.2658536,0.005,0.18976271
1.9505564,1.2816051,0.005,0.17764059
1.9429927,1.2969999,0.005,0.10248052
1.9405241,1.2981819,0.005,0.10229598
1.9920726,1.2235088,0.005,0.2423614
2.0045209,1.2218632,0.005,0.23429866
2.0246031,1.210086,0.005,0.24292983
1.9712168,1.252296,0.005,0.22518443
1.9895347,1.2414237,0.005,0.2343964
1.9543514,1.2446128,0.005,0.22293009
1.8576468,1.296332,0.005,0.12640044
1.8902692,1.2795502,0.005,0.19180575
1.8977479,1.2961693,0.005,0.12138064
1.9008808,1.298039,0.005,0.10862101
1.9464306,1.253817,0.005,0.21425289
1.9376827,1.2962208,0.005,0.11541677
2.4987276,0.6205948,0.005,0.12926544
2.4903498,0.60333419,0.005,0.11961687
2.4825323,0.6365146,0.005,0.137062
2.3811867,0.89524436,0.005,0.27939135
2.3386843,1.0956452,0.005,0.22521472
2.3417108,1.0937037,0.005,0.22321185
2.3504949,1.0559591,0.005,0.2105727
2.3368874,1.0726683,0.005,0.20198959
2.3545332,1.0443031,0.005,0.21010514
2.320976,1.0727202,0.005,0.19325516
2.3007681,1.0497886,0.005,0.20328873
2.3683538,1.0423074,0.005,0.21049602
2.3702579,1.0235234,0.005,0.21205692
2.3736687,0.98208767,0.005,0.19999939
2.3380151,1.0258647,0.005,0.21682039
2.3165243,1.0269667,0.005,0.21767931
2.356075,1.002022,0.005,0.22266325
2.3733623,0.97885674,0.005,0.19682275
2.298727,1.0029095,0.005,0.2291474
2.2949243,1.0895846,0.005,0.20049991
2.2668002,1.0765579,0.005,0.19236913
2.2802322,1.0510032,0.005,0.20621321
2.4666629,0.71839017,0.005,0.19103636
2.4622803,0.73949522,0.005,0.20830368
2.4563572,0.69662398,0.005,0.1914497
2.368166,0.9539355,0.005,0.23089759
2.3695085,0.92718762,0.005,0.21668829
2.3651345,0.90768343,0.005,0.26029459
2.4095078,0.84329647,0.005,0.23567241
2.3989065,0.84893018,0.005,0.2507039
2.4060042,0.89428824,0.005,0.20399791
2.4027185,0.867567,0.005,0.25112799
2.4660289,0.65208244,0.005,0.14985596
2.4641681,0.66813266,0.005,0.17022376
2.4705181,0.68386191,0.005,0.17343771
2.4620624,0.77942276,0.005,0.22100562
2.4498274,0.7787962,0.005,0.23256052
2.4662449,0.75752097,0.005,0.19987755
2.4630206,0.75740337,0.005,0.20542447
2.4162345,0.8329367,0.005,0.23815666
2.4381478,0.79440993,0.005,0.23269734
2.4419899,0.80726647,0.005,0.21505976
1.8624552,1.2564925,0.005,0.21512213
1.9324455,1.2427895,0.005,0.21840897
1.9175384,1.2376485,0.005,0.23057078
1.8925343,1.2467307,0.005,0.22555283
2.49786,-0.240473,0.005,0.23600526
2.4751291,-0.23975593,0.005,0.23995821
2.4673223,-0.26319173,0.005,0.20411988
2.4537199,-0.26388443,0.005,0.20754853
2.4392338,-0.26695797,0.005,0.16664395
2.4388483,-0.28981516,0.005,0.16615297
1.8479993,1.2794404,0.005,0.18106763
1.8207725,1.2779709,0.005,0.18053254
1.8205017,1.2982017,0.005,0.1218503
1.8118765,1.2870775,0.005,0.13970131
1.7853899,1.2799443,0.005,0.1834776
1.764781,1.2918824,0.005,0.13974324
1.7910858,1.2867786,0.005,0.14506675
2.2980797,1.1062982,0.005,0.22896543
2.2499228,1.0980996,0.005,0.21763651
2.2219198,1.0933629,0.005,0.19118714
2.1942627,1.0916971,0.005,0.18806359
2.2384036,1.076466,0.005,0.19601648
2.2528114,1.0772165,0.005,0.19998424
2.1967533,1.1273664,0.005,0.22131798
2.2027264,1.112914,0.005,0.24493501
2.1708822,1.1574864,0.005,0.2438409
2.1975441,1.1427546,0.005,0.24955364
2.1792102,1.1394296,0.005,0.23303604
2.1811144,1.176548,0.005,0.24004488
2.1448643,1.1164949,0.005,0.21022065
2.1835809,1.1014584,0.005,0.19953574
2.1553237,1.108224,0.005,0.19958365
2.1002114,1.1766913,0.005,0.24292028
2.1256127,1.1665237,0.005,0.24497221
2.1355209,1.1422807,0.005,0.24022993
2.118099,1.1216975,0.005,0.21319273
2.0447435,1.2161674,0.005,0.22911179
2.0473912,1.213304,0.005,0.23241025
2.0542679,1.1898839,0.005,0.24558711
2.0856655,1.158265,0.005,0.2417479
2.0832946,1.1433463,0.005,0.22593972
1.9895586,1.2638872,0.005,0.19846237
1.9579477,1.2662807,0.005,0.17862052
1.9823389,1.2103506,0.005,0.2406867
2.0040047,1.2052072,0.005,0.23392114
2.0266221,1.1973283,0.005,0.24416445
2.1032715,1.1193999,0.005,0.20803812
1.9803059,1.2456398,0.005,0.22523226
1.952433,1.2320261,0.005,0.22400978
